model,type,statistic,r2_train,r2_test,rmse_train,rmse_test,n_samples,n_features
random-weights_0,random-weights,LD_12,0.0012120767488837947,0.00039352384097535165,0.008866428126120112,0.010658242536779773,199837,64
random-weights_0,random-weights,LD_13,0.0009173936459113685,5.360204941495805e-05,0.0058725347874166,0.006566153212686918,199837,64
random-weights_0,random-weights,LD_14,0.0005689326879105838,-2.5844390117768512e-05,0.003360372148151764,0.004870740029343833,199837,64
random-weights_0,random-weights,LD_15,0.0003384705925083553,-5.9097667435281664e-05,0.0018686566558405936,0.005222374615197623,199837,64
random-weights_0,random-weights,$\pi$,0.7710466873502638,0.769753109234811,1.0676647224076339,1.0684189112086504,199837,64
random-weights_0,random-weights,#haps,0.06431288713481176,0.0625670795432608,12.172216320881741,12.087364050534447,199837,64
random-weights_0,random-weights,ihs_maxabs,0.2309812752922754,0.23285538691750673,0.22906540526348443,0.22867731618458328,199837,64
random-weights_0,random-weights,garud_h1,0.2444767929101027,0.2417311688013526,0.08469848530995196,0.08540006169767957,199837,64
random-weights_0,random-weights,garud_h12,0.1960489138216105,0.1919637219553395,0.12950779817897287,0.12996303057467606,199837,64
random-weights_0,random-weights,garud_h123,0.1616397215863158,0.15727693385736385,0.15092398505522484,0.15101194047313604,199837,64
random-weights_0,random-weights,garud_h2_h1,0.2180526210737984,0.2179478599025786,0.17403264199328036,0.17383487276408863,199837,64
random-weights_1,random-weights,SFS_1,0.16767157770570496,0.1706688981699448,4.067929405125444,4.031206077854799,199837,64
random-weights_1,random-weights,SFS_2,0.05545917274226908,0.054637133420449735,2.1393943730155254,2.1309215501846475,199837,64
random-weights_1,random-weights,SFS_3,0.03652547700388331,0.035012642340897626,1.829421897526648,1.7787962907065253,199837,64
random-weights_1,random-weights,SFS_4,0.027112435709106375,0.02422512326264914,1.6456394627702062,1.6123071366278867,199837,64
random-weights_1,random-weights,SFS_5,0.023090591628046386,0.021849947726002128,1.5484882176848382,1.5550389451013873,199837,64
random-weights_1,random-weights,SFS_6,0.019644070020946702,0.01978323293802775,1.455065093118877,1.4660721313544005,199837,64
random-weights_1,random-weights,SFS_7,0.01502652893690537,0.015873514380601472,1.4063723889320563,1.4585235131325252,199837,64
random-weights_1,random-weights,SFS_8,0.012637534548288976,0.013111086034892527,1.3939137174343081,1.4068706192591878,199837,64
random-weights_1,random-weights,SFS_9,0.011940360278104634,0.01176908841358093,1.3325728851370036,1.3405246145618832,199837,64
random-weights_1,random-weights,LD_1,0.33837547469898555,0.3401040859422375,0.0787244989299702,0.07783031684821265,199837,64
random-weights_1,random-weights,LD_2,0.29021319581460303,0.29241373687951955,0.07792652099106406,0.07710393607717052,199837,64
random-weights_1,random-weights,LD_3,0.19715615976545087,0.19552259721017173,0.08405558327705683,0.08265002307112303,199837,64
random-weights_1,random-weights,LD_4,0.07308835946495973,0.07211865110987592,0.09139301890786859,0.09232488351176839,199837,64
random-weights_1,random-weights,LD_5,0.017853558221686106,0.015212876634514094,0.09071991757786428,0.09225171588276725,199837,64
random-weights_1,random-weights,LD_6,0.009190464526172892,0.006321465453112296,0.07965524866244694,0.08161073400226551,199837,64
random-weights_1,random-weights,LD_7,0.008898096224217333,0.006579897785481403,0.061950987868321365,0.06266199257412612,199837,64
random-weights_1,random-weights,LD_8,0.008101404794891964,0.005483739095272666,0.04427382826694792,0.0442111487840575,199837,64
random-weights_1,random-weights,LD_9,0.0056719279519933385,0.004374114810310137,0.030939825166466817,0.030576833478330238,199837,64
random-weights_1,random-weights,LD_10,0.0038748326541104827,0.0037281420228345574,0.020748913133996228,0.022100563476754556,199837,64
random-weights_1,random-weights,LD_11,0.0024611659650589646,0.0009083262767310973,0.014067467110479874,0.01438253675794282,199837,64
random-weights_1,random-weights,LD_12,0.0012771330522070024,0.0006292208139995203,0.008866139362901601,0.010656985910465402,199837,64
random-weights_1,random-weights,LD_13,0.0009157032929406617,-0.00023256476783539703,0.005872539755300318,0.006567092703420812,199837,64
random-weights_1,random-weights,LD_14,0.0005255918323300302,6.845728671167617e-05,0.0033604450095175015,0.004870510370388711,199837,64
random-weights_1,random-weights,LD_15,0.0003775316569828435,-3.148257492546769e-05,0.001868620147267939,0.00522230251078197,199837,64
random-weights_1,random-weights,$\pi$,0.8122693496691085,0.8113058818275048,0.9667830322211937,0.9672168656334128,199837,64
random-weights_1,random-weights,#haps,0.0569925567640579,0.054672807144987234,12.219738107212644,12.138152162937914,199837,64
random-weights_1,random-weights,ihs_maxabs,0.2679708494004379,0.2724285753529926,0.22348852806274236,0.2227010597146451,199837,64
random-weights_1,random-weights,garud_h1,0.26527595383102487,0.26729452778821416,0.08352449647405236,0.08394818282989908,199837,64
random-weights_1,random-weights,garud_h12,0.21438447148452178,0.21574256396817193,0.12802245061208845,0.1280364790818484,199837,64
random-weights_1,random-weights,garud_h123,0.17242679619800805,0.1713341183363718,0.14994988167612963,0.1497471538279939,199837,64
random-weights_1,random-weights,garud_h2_h1,0.21994403232256587,0.2210988790117383,0.17382203537316243,0.1734843143784324,199837,64
random-weights_2,random-weights,SFS_1,0.1467361573966769,0.1478513891411235,4.11877166446803,4.0862853811582625,199837,64
random-weights_2,random-weights,SFS_2,0.04752297512139547,0.04690104582453303,2.1483633559748685,2.1396226578027555,199837,64
